No.,Texto
124,"La transformación de la mujer en mercancía tiene un escenario, quizas el más dramático en las cadenas mundiales de esclavistas modernos y de las bandas dedicadas a desaparecer, no solo mujeres adultas, sino niñas. Sabemos que están concentradas en el Valle de Aburrá y le he pedido a la policía y a la fiscalía, unidades dedicadas exclusivamente al desmantelamiento de estas bandas.

No es una sociedad digna, la sociedad que permite que sus mujeres se vuelvan mercancías."
125,"Le solicito a @PoliciaColombia el máximo esfuerzo de inteligencia para encontrar pesonas desaparecidas y, sobretodo, en la ciudad de Medellín La desaparición de mujeres en Medellín y mi propia experiencia personal, cuando en la posesión de la presidente de México logré que ella movilizara la policía mexicana para encontrará, en cuestión de un día, varias jóvenes que habían desaparecido en Medellín, me lleva a indicar que debe haber una priorización en la ciudad hacia el desmantelamiento de bandas que desaparecen mujeres allí.

Cualquiera que haya sido la realidad de la desaparición de esta madre y sus hijas, se debe constituir en la ciudad de Medellín, un cuerpo especializado en el desmantelamiento de bandas de trata y expandirlo a toda Colombia."
126,"Recatado Bartolomé Pinchao, en Nariño. La pareja de secuestradores fue puesta en prisión"
127,"El ejército combate en Gorgona, Magui Payán, Nariño, con la Segunda Marquetalia se detiene dos integrantes y otro muere en el combate En el Morro, San José del Guaviare, Guaviare, se ubica y destruye un laboratorio para el procesamiento de estupefacientes qué pertenece a la banda de Iván Mordisco

Se incauta 725 Kg de cocaína

Con inteligencia de la armada colombiana se incautan en el suroeste de Manta, Ecuador, 1560 kilogramos de cocaína.

En total ayer se incautó 2,2 toneladas se cocaína."
128,"Navidades y fin de año solían ser la temporada más violenta, en términos de homicidios del país, pero este fin de año los homicidios descendieron un 63% respecto al año pasado y en un 98,5% del total de municios no hubo un solo homicidio, gracias a la autorregulación ciudadana que prefiere amar la vida y no divertirse con la muerte, y gracias a la Policía Nacional, vivimos más seguros ahora.

https://eltiempo.com/justicia/delitos/durante-la-celebracion-del-ano-nuevo-los-homicidios-se-redujeron-en-un-63-por-ciento-policia-3413965?s=09
"
129,"La compañía de tropas especiales Omar Silgado se desmoviliza en el Chocó. Entrega 16 fusiles y decide al comenzar el nuevo año apostar a la paz. Esta foto me produce ideas y sentimientos. Jóvenes negros sin oportunidades que cojen las armas y terminan matando a otros jóvenes negros igualmente excluidos. 

El cambio de Colombia es por otros medios; uniéndose el pueblo negro, uniendo el pueblo en la paz y la justicia social. Transformando el territorio."
130,"Golpe al Clan al golfo. Dragas destruidas en Marinilla, Antioquia, para la minería ilegal del oro. Se incautan cerca de 5,7 toneladas de cocaína incautadas en mar abierto cerca a Acapulco y en un puerro portugués, en un buque panameño empacada en cajas de Banano. Ambas operaciones se logran con inteligencia de la Armada"
131,Ni un peso se quitará a la financiación del acuerdo de paz con las Farc. Siendo una declaración unilateral de estado ante el mundo desde el año 2016 es de absoluto cumplimiento por parte de todas las ramas del poder público Las partidas hacia los excombatientes y las zonas PDET serán financiadas desde el ministerio de hacienda y planeación con traslados presupuestales después de firmado el decreto de liquidación este 31 de diciembre
132,"Con ayuda de la inteligencia policial de Colombia, se han incautado 9,5 toneladas de cocaína en República Dominicana. La droga provenía de grupos armados del Catatumbo"
133,"Katherin hay algo que un buen parlamentario debe tener como norma y es no ser oportunista. 1. Tu proyecto fue acumulado al nuestro, se acumuló y se volvió ley. Pero su iniciativa no tenía que ver con remuneración a los soldados, sino con el derecho de los transgéneros en el ejército, tema con el que estamos de acuerdo.

Pero debes ser sincera, lo que ahora anunciamos no tiene que ver con los trangéneros, sino con subir la remuneración de los soldados regulares, a un millón de pesos mensuales. Fíjese que cuando recibimos el gobierno eran miserables 348.000 pesos mensuales, en el 2026 espero entregarle a los soldados regulares un salario mínimo de remuneración. En esta materia no hiciste ninguna propuesta.

Con decir héroes no come la familia de un soldado. Al tener casi 100.000 jóvenes con una remuneración de hambre y literalmente con hambre en los cuarteles mientras profundizaban la guerra, y hacían trizas la paz, Uribe y Duque solo veían lo que ven en los trabajadores: esclavos.

Nosotros queremos que la vida de un soldado que arriesga su vida por lo demás tenga dignidad simbólica y dignidad real. En el 2025 cada jóven que quiera prestar servicio militar podrá ganar 1 millón de pesos mensuales.

Abriremos el 27 de enero el servicio social voluntario, a las y los jóvenes que entren. Ganarán un 80% de la remuneración mensual del servicio militar. En cada colegio del país se hablará del servicio y de su inscripción por Internet. Lucho porque quienes ingresen al servicio militar o social tengan cupo garantizado en las universidades públicas de su territorio"
134,No aparecen 400 bienes entregados por los paramilitares en su proceso de paz para la reparación de las víctimas.
135,"Lo soldados regulares, es decir quienes prestan servicio militar, recibirán casi un millón de pesos de remuneración mensual por su servicio. Antes esta remuneración apenas llegaba a 200.000 pesos mensuales. Un soldado es un ser humano cuya dignidad humana personal permite la defensa de los derechos y libertades de su pueblo.

Vamos hacia unas fuerzas armadas profesionales."
136,"El asesinato reclutamiento y asesinato sistemático de menores de edad es un crímen contra la humanidad en cualquier lugar del mundo que se realice. Si hemos pedido a la corte penal internacional que se juzguen genocidas que han bombardeado niños, lo mismo hay que hacerlo si sucede en Colombia.

Facultado por el Estatuto de Roma, pediré procesamiento penal  internacional a los cabecillas de grupos armados responsables de la ejecución sistemática de menores de edad."
137,"El gobierno nacional, trás 14 años de espera, construirá el palacio de justicia de Medellín. Que la justicia reiné en Antioquia y Colombia."
138,"En la última semana se han decomisado por parte de la fuerza pública 13 fusiles y 6,7 toneladas de cocaína, además de 60 kg de heroína incautado en Nariño."
139,"No Alvaro. No se si eran terroristas o no los que sacaste de la comuna XIII, lo cierto es que metieron otros peores, los narcoparamilitares que se quedaron en la comuna y ellos si sacaron a 500 jóvenes que fueron desaparecidos, y no solo me da nostalgia eso sino impotencia de ver tanto indolente en el poder con la sangre del pueblo derramada, creo que ahí está el problema, Alvaro; para dormir tranquilos con tanta sangre de los jóvenes pobres derramada desde el gobierno, entonces cubren sus pesadillas pensando que derramaron sangre de terroristas. Se suman 500 desaparecidos a los 6.402 que fueron fusilados en tu gobierno siendo apenas carpinteros, albañiles o campesinos."
140,"La primera acción del primer gobierno de Uribe, fue tomar a sangre y fuego la comuna XIII de la ciudad de Medellín, acción que expulsó milicias de grupos guerrilleros para pasar al control de Don Berna y los grupos paramilitares. El ejército y la policía solo transfirieron el mando de la zona de unos grupos ilegales, que la élite del Poblado consideraba enemigos, a otros grupos ilegales que esa misma élite consideraba amigos, e incluso, dirigía.

Bajo el control paramilitar desaparecieron más de 500 jóvenes y líderes sociales.

Cuando ocurrió la operación, contrario a lo que yo esperaba, el resto de la ciudad, no reaccionó, sino que vió la acción, llamada Operación Orión, como una acción liberadora y plausible.

Mientras se aplaudía a Uribe, los paramilitares sacaban todas las familias que consideraban enemigas de los barrios de la comuna. Creció el desplazamiento interno de Medellín en decenas de miles de personas. Se ""blanqueo"" la comuna.

En medio de la operación militar de toma de la comuna XIII, varios jóvenes, entre ellos un taxista, Juan Carlos Tanus, fueron. llevados a la escombrera, en la parte más alta de la comuna en zona rural, el taxista recibió un disparo pero pudo ver cómo, después de pasar un retén militar, hombres con brazaletes del CTI ejecutaban jóvenes y los arrojaban a las fosas donde depositaban escombros, el CTI lo dirigía la fiscalía de Luis Camilo Osorio, que según confesiones posteriores de los mismos paramilitares, colaboraba con la cúpula y usaba la información de la fiscalía para que los paramilitares asesinaran sospechosos en listas que le pasaba a Jorge Noguera, director del DAS por decisión de Uribe.

El taxista herido logró escapar a la muerte y sin que se dieran cuenta los del CTI y los paramilitares, arrastrándose, logró escapar del lugar, herido llegó a Bogotá y se entrevistó conmigo que era parlamentario. Lo cuidamos y cité el debate sobre la operación Orión donde me gané el odio de muchos habitantes de Medellín. Pensé que Juan Carlos Tanus me dejaría plantado el día del debate y que preferiría no ir y no hablar en público con una información tan peligrosa. Le prometí sacarlo del país si lo hacía.  Juan Carlos cumplió con su palabra y con su pueblo, habló ante la Cámara de Representantes, sin saber yo mismo que muchos de sus oyentes en ese recinto, eran colaboradores del narcoparamilitarismo,
pero pudimos anunciarle a Colombia que en la escombrera de la comuna XIII, se  ejecutaban jóvenes por parte de funcionarios del estado y pude salvar al taxista, Juan Carlos quien hoy vive en el exilio. El voto popular de Medellín nunca fue para mí.

Años después, en otro debate, descubrí  cómo los mal llamado ""falsos positivos"": ejecuciones sistemáticas de jóvenes por oficiales del ejército, habían surgido de las enseñanzas que el entonces presidente de Colombia le dió a sus fuerzas militares: que lo importante eran las bajas, que no importaba cómo, ni quien su aliado para conseguirlo y que de eso dependía su carrera militar.

Creí en ese otro debate que eran 180 ejecuciones de supuestos guerrilleros que eran en realidad  campesinos, pero me equivoqué, la mayoría no eran campesinos, leí sus nombres propios uno por uno delante del ministro de defensa Juan Manuel Santos. Leí la resolución 039 que premiaba con medallas y ascensos por el número de bajas, sabía que la había firmado Camilo Ospina que nunca fue enjuiciado. Me dí cuenta que los uniformados iban a la cárcel, pero los hijos de la oligarquía, que ordenaba la atrocidad, no. Los fusilados, como Aureliano Buendía, en su mayoría no eran campesinos sino jovenes de los barrios de las grandes ciudades que, engañados y en un número de 6.402 fueron fusilados sin contemplación para ser presentados como guerrilleros dados de baja.

De la Operación Orión, y con aplauso ciudadano y de la prensa, surgió el peor crimen contra la humanidad en la historia contemporánea de las Américas."
141,"El fin de la guerra, es el propósito nacional para el 2025."
142,En el año 2025 los jóvenes que presten el servicio militar recibirán un pago de 70% de salario mínimo mensual.
143,"Frenar la extorsión en Medellín por un mes, pero buscamos que sea un acuerdo definitivo. Estamos ante un proceso inédito. Los procesos de paz de las bandas que implican recuperación del territorio. Estos procesos que comenzaron en Quibdó. Buenaventura, Medellín y Bello deben traer seguridad de vida a la población

El papel protagónico no debe ser del gobierno nacional sino de la fiscalía, a la cual invito para analizarlos y transformarlos en politica pública.

Implica la dignificación de la cárcel, del barrio, de la juventud y de la vida personal."
144,En el camino de la paz total se firma compromiso entre las estructuras armadas del Valle de Aburrá y el gobierno nacional.
145,Se ha logrado en las cárceles un compromiso de paz en Medellín y el valle de Aburrá.
146,"En la Vereda el Porvenir, La Plata, Huila. El Ejército Nacional combatió contra la Comisión Hernando Gonzalez Acosta, enviada por el EMC desde el Cauca, para irradiar actividades sobre el Huila. La comisión quedó prácticamente desintegrada. Se recuperaron 6 menores de edad, hubo 4 capturas. 2 bajas y 11 fusiles recuperados.

En San Pedro del Naya, Buenaventura, Valle del Cauca. En desarrollo de  operación conjunta entre el ejército y la armada, se capturaron 4 integrantes de la columna del EM, Jaime Martínez, por los delitos de fabricación, tráfico o porte de armas de fuego. Se incautó material de guerra.

El Carmen de Bolívar, San Jacinto, Maria la Baja, Clemencia, Santa Rosa, Villanueva, Turbaco y Turbana, departamento de Bolívar se capturó a 10 del ""Clan del Golfo"" por los delitos de concierto para delinquir agravado y homicidio Agravado"
147,"Me reuní con el magistrado Alejandro Ramelli, presidente de la JEP, Justicia Especial para la paz. Queremos articular, mucho más, el ejecutivo y la JEP en la perspectiva de la verdad y la reparación real de las víctimas de la violencia en Colombia "
148,"Primero hay que averiguar que significa la bandera M19. En primer lugar la bandera del M19 es la.misma de la Anapo, que tiene un significado: El azul conservador separado del rojo liberal por una franja blanca de la paz. El general Gustavo Rojas Pinilla la creo para significar la paz que hizo en su gobierno entre conservadores y liberales, luego de una guerra civil que dejó 300.000 muertos. Esa bandera es desde entonces, un símbolo de paz

Y en segundo lugar el M19 es un movimiento precursor de la paz en América Latina, después de las dictaduras militares y las guerras revolucionarias.

Después de la paz del 89 se hizo la paz de Guatemala y el Salvador y la nueva constitución de Colombia, la bandera del M19 fue la misma del movimiento que ganó mayoritariamente las curules de la Asamblea Nacional Constituyente, cuya personería jurídica es la que da vida legal al Partido Verde. Por tanto la bandera del M19, por nuestro acuerdo de paz, es una bandera legal."
149,Buzos de la policía incautan dos toneladas de cocaína en Cartagena. 
150,"Las tierras entregadas a los campesinos y a los firmantes de paz, se llenan de cultivos fe alimentos."
151,"Capturado el narcotraficante inglés Cristopher Neils, yerno de alias ""Monoleche"" y contacto del clan del golfo para la exportación de cocaína hacia el Reino Unido."
152,"Así llega alias ""Bobby' jefe del tren de Aragua en Chile a Santiago. Fue capturado por la policía nacional, gracias a labores de inteligencia conjunta Chile / Colombia, en el Norte de Santander. "
153,"Mientras usted habla, nosotros combatimos contra ellos. No sólo tomamos el plateado, centro de operaciones narcoviolentas de esta columna, que su gobierno dejó en manos de este grupo armado, sin tocarles ni un pelo, sino que ahora, vamos hasta acorralarlos en el mar"
154,"¡Atención! El ejército captura 10 integrantes del clan del golfo en Bosconía, Cesar. ¡Atención! Con ayuda de la inteligencia naval colombiana se incauta más de 13 toneladas de cocaína en el puerto de Algeciras en España."
155,"- CERTIFICACIÓN: De JIATFS (Estados Unidos) con inteligencia naval colombiana, en 10 eventos (9 interdicción marítima go-fast y 1 semisumergible) se incautó 8,6 toneladas de cocaína Se deruvo 34 personas: 10 colombianos, 1 costarricense, 11 ecuatorianos, 7 mexicanos, 2 nicaragüenses y 3 panameños."
156,"El Clan del Golfo ha intentado con alianzas políticas y empresariales volver a construir unidades armadas de mayor capacidad, en el nordeste y el magdalena medio antioqueño. Las operaciones contra alias Zeus y la realizada en Cáceres en la útima semana, han afectado seriamente esa intencion.

La operación del ejército nacional en la vereda Bejuquillo, Cáceres, Antioquia deja cuatro integrantes del clan muertos y 8 fusiles incautados. La fuerza del clan se dispersó.
"
157,"En la madrugada de hoy, en una operación policíal en Los Patios ( N de S) fue capturado Carlos Gómez, alias Bobby, jefe de la banda multinacional Tren de Aragua en Chile. La colaboración policial con inteligencia chilena y colombiana logró este gran éxito en la seguridad de Chilenos y colombianos."
158,"Hemos sido neutrales ante los conflictos de la codicia en el mundo, pero hemos sido activos frente a la paz del mundo y de Colombia."
159,"Han incautado 224 toneladas de cocaína en el mundo con liderazgo de la fuerza pública de Colombia y EEUU ¿Es mejor fumigar campesinos o incautar y apresar narcos? Miéntras fumigaban, se abrazaban con los narcos"
160,"En la operación Orión, operación conjunta de varios países en el mar, se incautaron más de 225 toneladas de cocaína en el mar."
161,"El nuevo destino de la cocaína no es solo Australia, es China y la India."
162,Quizás este sea la mayor incautación de cocaína en tránsito hecha por Colombia en la historia. ¡14 toneladas de cocaína! Felicitaciones a la Armada.
163,"No quiero que manten a mansalva más jóvenes con uniforme del ejército de la constitución e hijos de trabajadores del país Si el ELN está dispuesto al cese al fuego y cada acuerdo se cumple de inmediato en favor de la gente de las regiones que sufren el conflicto, acepto."
164,"El ELN debe decir ante el pueblo por qué atentó contra la zona donde los excombatientes de las farc aún habitan en ANORI , Antioquia, y mató 5 soldados del ejército de Colombia que los cuidaban ¿No es eso exactamente un acto contra la paz que dicen buscar?"
165,"¿Por qué tanta histeria porque admito que los antiguos jefes paramikitares puedan servir hoy a la verdad, a la reparación de las victimas y a la justicia?"
166,En una sola semana la policía nacional incautó 10 toneladas de cocaína.
167,"La verdad no creo que haya próximo gobierno que haga la paz con el ELN. La historia es un flujo permanente y no se repite. 

Todos y todas las combatientes del ELN saben hoy, precisamente por que la historia es un río con muchas derivas, que se escoge el camino del padre Camilo Torres Restrepo y su amor eficaz, o el camino de Pablo Escobar. El pueblo colombiano los quiere en el camino del padre que ofreció su vida por los demás.

Esto mismo me lo dijo personalmente el mismo Pablo Beltrán y se lo escuché al comandante Pizarro."
168,"El reclutamiento forzado de niños y niñas es un delito execrable. Muestra no sólo la debilidad del grupo violento al que nadie se junta por su propia voluntad, solo de manera forzada, sino que están dispuestos a usar a los niños como escudos humanos en los combates contra el estado

El grupo armado no está ya para buscar ""justicia para los pobres"". sino que usa a pobres y personas débiles para lograr su objetivo que no es más que la codicia.

Aquí la fuerza pública rescata una menor llevada forzadamente a la violencia."
169,"Con el ELN hemos decidido buscar el cambio del método del diálogo. Estoy de acuerdo en que las opciones políticas que crean que ha llegado tiempos para el postcapitalismo, existan pacíficamente en Colombia. En el mundo ya crecen fuertes relaciones de producción postcapitalistas sin necesidad de guerras. El postcapitalismo no se decreta, se hace.

Me parece que en lo concreto para el presente, cada acuerdo debe llevar al avance en la práctica de lo acordado.

Implementar el proceso de paz desde ya. Ese es un cambio de método.

En lo que se refiere al clan del golfo, que es un dialogo por comenzar, es fundamental parar de antemano, los estímulos al éxodo de migrantes a los Estados Unidos. Se rompen todos los derechos humanos de los migrantes, sobre todo en niños y mujeres, mientras quienes tiene el poder en EEUU, no nos quieren, nos creen inferiores y sirvientes.

No se pueden llevar seres humanos latinoamericanos al matadero.

Todos los diálogos deben,  comenzar con la transformación real de regiones concretas acordadas bilateral o multilateralmente para iniciar su transformación de lo ilícito a lo lícito y al poder popular.

¿Cómo transformar una región olvidada y dejada a las mafias extranjeras hoy, en una región profundamente democrática en manos de su propia ciudadanía?

El cambio de rutas de la cocaína desde EEUU, que se hunde en la decadencia del Fentanilo, hacia los enormes mercados de China e India, implican un envolucramiento real de estos dos países en la transformación real de las economías del pacífico colombiano y ecuatoriano. Invito a China e India a un diálogo entre civilizaciones para frenar un enorme peligro, que nos se frena con armas, sino con progreso."
170,"Tanto en lo que llamaban disidencias de las farc derivadas del comandante de las farc que no firmó los acuerdos: Gentil Duarte; como ahora, de la segunda Marquetalia que dirigía Marquez, del grupo de las farc, que al firmar los acuerdos, fue entrampado por la fiscalía de Nestor Humberto, se han producido profundas fracturas.

Esas fracturas se dan alrededor de si hacer la paz con este gobierno o profundizar la acción bélica que cada vez más se dirige al traqueteo y contra el pueblo mismo de las regiones del conflicto en Colombia.

Esta división en los grupos violentos es un avance en la paz.

Lo que trae la paz es el cambio. la transformación real de los territorios abandonados de Colombia.

Insistiré en la paz, no sin ser claro en que quienes no aceptan el camino de bajar las armas y ponerlas al servicio del pueblo, serán doblegados por la fuerza pública de la Constitución. "
171,"Cae el segundo cabecilla más importante del tren de Aragua en territorio colombiano y con el trabajo de la policía colombiana apoyada por la venezolana. *INFORME DE RESULTADO OPERACIÓN FRONTERA CONTRA ALIAS “JEISON COMINO” SEGUNDO CABECILLA DEL TREN DE ARAGUA Y SEGUNDO MÁS BUSCADO EN VENEZUELA - ARTICULACIÓN POLICÍA NACIONAL – CUERPO DE INVESTICACION CIENTIFICAS, PENALES Y CRIMINALISTICAS - CICPC DE VENEZUELA.*  El 15NOV24 en el municipio de Los Santos (Santander), como aporte de la Seguridad Ciudadana se desarrolló la *OPERACIÓN FRONTERA*, dejando como resultado la captura de Jeison Alexander Lorca Salazar alias ”Jeison Comino”, solicitado por Venezuela a través de Notificación Roja de INTERPOL para comparecer por proceso penal sindicado de los delitos de Terrorismo, Asociación para Delinquir Agravada, Tráfico de Armas / Municiones y Extorsión.  Perfil y trayectoria del objetivo  - Segundo Cabecilla del Tren de Aragua y cabecilla de la banda *“El Jeison”* que delinquió en la zona de la Tasajera y de los Teques del Estado de Aragua – Venezuela."
172,"Cuando decidimos escoger gestor de paz, para finiquitar el proceso de paz hecho por el expresidente Uribe con los paramilitares, proceso que la corte constitucional quiso que se diera en términos de verdad, reparación a las víctimas, justicia y no repetición; no estamos otorgando ningún tipo de beneficio jurídico.

Solo hemos dado una condición a unas personas que han sido determinantes del paramilitarismo y pueden ayudar  a cerrar el proceso iniciado en el periodo del gobierno de Uribe.

En esto, la verdad y la reparación genuina de las víctimas es fundamental, dado que en el proceso institucional, se perdieron muchos inmuebles, y aun falta espacios de verdad.

En este caso, gestores de paz, como dice el decreto, no otorga beneficios jurídicos, solo disposición de la persona a ser constructores de paz.

No es un beneficio jurídico lo que se otorga, ni un día más ni un día menos de cárcel.

Ser gestor de paz es una condición del ser humano, no un regalo;  quien acepta esta condición, está dispuesto a resarcir las víctimas y a las garantías de no repetición"
173,La impunidad no nos lleva sino a más violencia.
174,Los jóvenes en Paz de Valledupar se ponen a la vanguardia en ayudar las población en la emergencia climática que vivimos.
175,Quienes rechazan la paz merecen el castigo y repudio del pueblo colombiano.
176,Residente se mete bien en el debate cultural abierto en Colombia. ¿La cultura juvenil de Colombia apuesta a la narcoanticultura o al arte liberador? 
177,"Este asesinato de dos niñas por ""los doce apostoles"" en el municipio de Campamento, Antioquia, cerca de Santa Rosa de Osos, se produjo en medio de una masacre de militantes de la Unión Patriótica. Los doce apostoles mataron estas dos niñas por sectarismo y odio político"
178,"Más que los cuerpos y cadáveres, que no es botín de guerra en ninguna circunstancia, y que a las actuales organizaciones armadas no les importan por que reemplazan los muertos por otros jóvenes, dada la pobreza agraria subyacente y el narcotráfico: al combatiente lo transformaron de revolucionario, en desechable. La vinculación a las organizaciones se da por reclutamiento forzado o por ingresos económicos en dinero o en especie lo que permite la ""desechablizacion"" de los combatientes. lo que si es un desastre para los dueños de las organizaciones armadas actuales es la caída de alijos y armas. Más los alijos de drogas y oro que las armas.

Aquí logramos un triunfo y un verdadero desastre militar sobre alias ""mordisco"" que prefirió convertirse en  miembro de la Junta del Narcotráfico, sin que lo supieran sus compañeros, a hacer la paz con el gobierno.
Perdieron los fusiles y pertrechos que traían del Cauca para asegurar rutas de coltan y cocaína en la amazonía.

Le recomiendo a Mordisco verse la película sobre la autobiografía de Mandela que esta en Primetv. Al menos podría captar así sea de lejos, el verdadero valor revolucionario de la paz, se que aun arrinconado, puede vérsela.

Los señores Santrich, Marquez a los que entramparon falsamente desde la fiscalía de Nestor Humberto, después de firmar el acuerdo de Paz, no tuvieron la suficiente fortaleza personal, que tuvo Mandela, de apostar, con todo, al valor revolucionario de la paz. Después  asesinaron extrañamente en otro país a varios de ellos, provocando con esa acción hacer trizas la paz y desatar de nuevo la violencia en Colombia.

Alias ""mordisco"" es heredero de esa traición a la paz desde las dos causas: la debilidad personal de quienes no entendieron el valor revolucionario de la paz y la codicia de los beneficiarios narcotraficantes que estuvieron detrás de la consigna de ""hacer trizas la paz""."
179,"Solo es legal el uso de pegasus en Colombia si las interceptaciones a teléfonos fueron ordenadas por la justicia colombiana. Corresponde a la rama judicial decirnos si esas órdenes se dieron, sino, la Justicia debe procesar a quienes lo permitieron."
180,"La comunidad Guanadule de Colombia y Panamá es clave para lograr la interconección eléctrica de todas las Américas. Pero sus comunidades no tienen luz y viven bajo la presión de las armas. Es el momento de una paz que garantice la libertad de las comunidades, su prosperidad y la posibilidad de las energías limpias para todas las américas"
181,Caen 10 fusiles del Clan del golfo
182,"Todos los soldados que tomaron en el primer día el Plateado, recibirán la Cruz de Boyacá. El narcotráfico del Micay no quiere que pongamos los servicios de comunicación a la ciudadanía y la apertura de nuevas formas de producción. El soldado caído Pedro Fonseca Rojas es un…"
183,La armada ha incautado 2.3 toneladas de cocaína en San Andrés.
184,Primero las niñas y los niños. El estado debe estar al servicio de la niñez. Conferencia mundial ministerial por la niñez en Bogotá. Se reunen 144 ministros y ministras del mundo en Bogotá para ponerse al servicio de las niñas y los niños.
185,Me reuno en la primera conferencia ministerial para la eliminación de la violencia contra la niñez. Son 144 ministros de todo el mundo reunidos en Bogotá para priorizar la niñez en el mundo. Las niñas y los niños primero.
186,"Lo que ven como humillacion, es ni más ni menos, reconciliación. La reconciliación surge del perdón y es la base sólida de la paz. El odio y el rencor solo lleva a la venganza y a la perpetuación de la violencia, que es la permanente historia de Colombia, y que se debe cambiar.…"
187,"Ha sido homenajeada la policía colombiana en Glasgow. La percepción ciudadana muestra un gran mejoramiento de la imagen y el comportamiento de la policía. Aun falta mucho por hacer, pero el cambio en esa institución va con paso seguro."
188,"Caen 3,2 toneladas de cocaina en San Onofre, Sucre."
189,"El rumbo era Australia, pasó cerca de una isla francesa del pacífico. Los franceses capturaron el sumergible con 5 toneladas de cocaína por información enviada por la fuerza pública de Colombia"
190,"Mi querido Andres, dignidad en el cargo es no importar Pegasus, ni matar jóvenes que protestan en las marchas."
191,"Para Siloé, Cali, localidad martirizada en la persecución al M19, le entregamos un gran parque de 10 hectáreas y una sede universitaria para su juventud. No es matando jóvenes negros por protestar, es incluyendo la juventud popular en la Vida y las oportunidades."
192,Capturados tres integrantes de los frentes de Mordisco y se incautan 5 toneladas de cocaína que iban por mar en un sumergible hacia Australia.
193,"Me reúno con el presidente de Haití. Espero una estrecha colaboración con la república libertaria que nos ayudó a ser independientes. Debemos fortalecer su policía, su comercio, la preparación de sus jóvenes. Bloquear la rutas del narcotráfico de la Guajira hasta Haití."
194,"Ha sido capturado, alias, Jhon Naranjo, uno de los máximos extorsionadores en la orinoquía y amazonía colombiana"
195,"Ha sido capturado el primo de ""Chiquito malo"", Jhon Kerlys Sepulveda, será extraditado por su papel determinante de envío de Cocaína en el Urabá."
196,"Han sido capturados 9 personas integrantes de grupos armados ilegales en el Huila y Caquetá y se ha incautado 3,5 toneladas de cocaína en alta mar. Se destaca EJC - Zona Rural, municipio Pradera, Huila. Combate con GAOr SE Ismael Ruiz del Bloque Central Isaias Pardo, Facción…"
197,"Capturado Luigi Beldevere, el jefe de Gustavo Canolla, capi di capi italiani, en la ciudad de Medellín. No es encarcelando campesinos cultivadores y jóvenes consumidores miéntras se abrazan con los capos, es capturando capos de verdad como se golpea el narco.…"
198,"Anoche hablé en Cali de la injusta distribución de la tierra en el valle geográfico del rio Cauca y de la necesidad de un pacto interétnico para democratizar la propiedad de la tierra. Se ha logrado un acuerdo de paz de este tipo en el norte del Cauca: campesinos, comunidades…"
199,Hoy nace la policía del agua. Destacamentos de la policía dedicados a cuidar la base fundamental de la vida en Colombia: el agua.
200,"Capturado por la Policía Nacional en Medellín, Juan Alberto Muñoz Terán, narcotraficante y primo de alias Otoniel."
201,Nuestro compromiso es Colombia.
202,"Entre el ejército, la Naval y la policía se ha incautado 6,5 toneladas de cocaína en las últimas horas, pertenecientes a estructuras del EM, el clan del golfo y el ELN."
203,"Toda muerte asesina de un joven de Colombia, cualquiera que sea el uniforme, es una derrota de Colombia."
204,"En Puerto Jordán, Arauca, recorriendo los pasos de tres jóvenes que murieron ese día en manos de la orden dada por la codicia. La codicia que es sinónimo del gran Capital mata la vida. Es el enemigo de todo ser humano y de todos en general."
205,"Con los soldados que estuvieron bajo ataque del ELN en Puerto Jordán, Arauca. Visité los sitios que dañaron con cilindros explosivos y en donde murieron tres soldados jóvenes y dos gatos de los soldados."
206,No más mineróa ilegal. La agencia Nacional Minera debe titular a los pequeños mineros para dejar de destruir los rios que son la vida de Colombia.
207,"Entre más se afecte el nivel de vida de campesinos y jornaleros en el pais, más crecerán las economías ilícitas y la violencia."
208,He recibido la medalla de la Paz de la Universidad Autónoma de Guerrero. La Universidad de los pueblos de México. Es un quetzal mexicano con una paloma de la paz abrazando al mundo. Gracias por este reconocimiento
209,"La Policía Nacional en colaboracion con Honduras ha incautado casi 4 toneladas se cocaína proveniente del golfo de Urabá La.operación fue hecha mediante el intercambio de información con la DEA y la Fuerza Naval de ese país, logró la incautación de 3.993 kilos de clorhidrato de…"
210,"El ejército invita al campesinado del Micay a sembrar cultivos lícitos. Se necesita contratos de comercialización con entidades del país y extranjeras, un sistema de crédito que permita una existencia digna mientras crecen las plantas"
